10	x	y	xelow	xeup	yelow	yeup
68	34.08	2.55E-006	0.00E+000	0.00E+000	0.00E+000	0.00E+000
69	51.12	1.76E-006	0.00E+000	0.00E+000	0.00E+000	0.00E+000
70	76.67	2.64E-006	0.00E+000	0.00E+000	0.00E+000	0.00E+000
71	115.01	3.19E-006	0.00E+000	0.00E+000	0.00E+000	0.00E+000
72	172.52	4.41E-006	0.00E+000	0.00E+000	0.00E+000	0.00E+000
73	258.78	6.61E-006	0.00E+000	0.00E+000	0.00E+000	0.00E+000
74	388.17	1.02E-005	0.00E+000	0.00E+000	0.00E+000	0.00E+000
75	582.25	1.59E-005	0.00E+000	0.00E+000	0.00E+000	0.00E+000
76	873.38	2.47E-005	0.00E+000	0.00E+000	0.00E+000	0.00E+000
77	1310.06	3.77E-005	0.00E+000	0.00E+000	0.00E+000	0.00E+000
78	1965.09	5.65E-005	0.00E+000	0.00E+000	0.00E+000	0.00E+000
79	2947.64	8.28E-005	0.00E+000	0.00E+000	0.00E+000	0.00E+000
80	4421.46	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
81	6632.2	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
82	9948.29	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
83	14922.44	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
84	22383.66	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
85	33575.49	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
86	50363.23	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
87	75544.83	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
88	113317.29	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
89	169975.89	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
90	254963.85	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
91	382445.78	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
92	573668.73	0	0.00E+000	0.00E+000	0.00E+000	0.00E+000
