tim_000.dat
tim_001.dat
tim_002.dat
2 2	94 226 960005	95 173 959900
2 2	94 226 960005	95 191 959933
2 2	94 226 960005	97 94 959929
2 2	94 226 960005	96 100 959940
2 2	94 226 960005	96 105 959917
2 2	94 226 960005	98 18 959953
2 2	94 226 960005	98 35 959927
2 2	94 226 960005	99 10 959925
2 2	94 248 960010	96 132 959982
2 2	94 248 960010	95 184 959943
2 2	94 248 960010	95 206 959995
2 2	94 248 960010	96 120 959943
2 2	94 248 960010	95 151 959989
2 2	94 248 960010	95 173 959900
2 2	94 248 960010	95 191 959933
2 2	94 248 960010	97 94 959929
2 2	94 248 960010	96 100 959940
2 2	94 248 960010	96 105 959917
2 2	94 248 960010	98 18 959953
2 2	94 248 960010	98 35 959927
2 2	94 248 960010	99 10 959925
2 2	96 132 959982	95 184 959943
2 2	96 132 959982	95 206 959995
2 2	96 132 959982	96 120 959943
2 2	96 132 959982	95 151 959989
2 2	96 132 959982	95 173 959900
2 2	96 132 959982	95 191 959933
2 2	96 132 959982	97 94 959929
2 2	96 132 959982	96 100 959940
2 2	96 132 959982	96 105 959917
2 2	96 132 959982	98 18 959953
2 2	96 132 959982	98 35 959927
2 2	96 132 959982	99 10 959925
2 2	95 184 959943	95 206 959995
2 2	95 184 959943	96 120 959943
2 2	95 184 959943	95 151 959989
2 2	95 184 959943	95 173 959900
2 2	95 184 959943	95 191 959933
2 2	95 184 959943	97 94 959929
2 2	95 184 959943	96 100 959940
2 2	95 184 959943	96 105 959917
2 2	95 184 959943	98 18 959953
2 2	95 184 959943	98 35 959927
2 2	95 184 959943	99 10 959925
2 2	95 206 959995	96 120 959943
2 2	95 206 959995	95 151 959989
2 2	95 206 959995	95 173 959900
2 2	95 206 959995	95 191 959933
2 2	95 206 959995	97 94 959929
2 2	95 206 959995	96 100 959940
2 2	95 206 959995	96 105 959917
2 2	95 206 959995	98 18 959953
2 2	95 206 959995	98 35 959927
2 2	95 206 959995	99 10 959925
2 2	96 120 959943	95 151 959989
2 2	96 120 959943	95 173 959900
2 2	96 120 959943	95 191 959933
2 2	96 120 959943	97 94 959929
2 2	96 120 959943	96 100 959940
2 2	96 120 959943	96 105 959917
2 2	96 120 959943	98 18 959953
2 2	96 120 959943	98 35 959927
2 2	96 120 959943	99 10 959925
2 2	95 151 959989	95 173 959900
2 2	95 151 959989	95 191 959933
2 2	95 151 959989	97 94 959929
2 2	95 151 959989	96 100 959940
2 2	95 151 959989	96 105 959917
2 2	95 151 959989	98 18 959953
2 2	95 151 959989	98 35 959927
2 2	95 151 959989	99 10 959925
2 2	95 173 959900	95 191 959933
2 2	95 173 959900	97 94 959929
2 2	95 173 959900	96 100 959940
2 2	95 173 959900	96 105 959917
2 2	95 173 959900	98 18 959953
2 2	95 173 959900	98 35 959927
2 2	95 173 959900	99 10 959925
2 2	95 191 959933	97 94 959929
2 2	95 191 959933	96 100 959940
2 2	95 191 959933	96 105 959917
2 2	95 191 959933	98 18 959953
2 2	95 191 959933	98 35 959927
2 2	95 191 959933	99 10 959925
2 2	97 94 959929	96 100 959940
2 2	97 94 959929	96 105 959917
2 2	97 94 959929	98 18 959953
2 2	97 94 959929	98 35 959927
2 2	97 94 959929	99 10 959925
2 2	96 100 959940	96 105 959917
2 2	96 100 959940	98 18 959953
2 2	96 100 959940	98 35 959927
2 2	96 100 959940	99 10 959925
2 2	96 105 959917	98 18 959953
2 2	96 105 959917	98 35 959927
2 2	96 105 959917	99 10 959925
2 2	98 18 959953	98 35 959927
2 2	98 18 959953	99 10 959925
2 2	98 35 959927	99 10 959925
tim_014.dat
2 2	144 124 133664	145 113 133331
2 2	144 124 133664	146 177 133294
2 2	144 124 133664	146 219 134140
2 2	145 38 132150	145 74 132000
2 2	145 38 132150	145 85 132514
2 2	145 38 132150	146 159 132400
2 2	145 113 133331	146 177 133294
2 2	145 74 132000	146 159 132400
2 2	145 85 132514	145 153 132814
2 2	145 85 132514	146 159 132400
2 2	145 153 132814	146 159 132400
2 2	145 153 132814	146 177 133294
tim_015.dat
2 2	63 31 960046	62 212 960047
2 2	100 227 948783	102 108 948441
2 2	102 108 948441	104 215 948183
2 2	157 32 80287.3	159 78 80220
tim_016.dat
2 2	135 175 738275	165 64 738575
2 2	136 191 739575	165 77 739717
2 2	204 160 183333	205 182 183400
2 2	204 160 183333	205 188 183733
2 2	205 182 183400	205 188 183733
tim_017.dat
2 2	119 128 959900	121 213 959950
2 2	119 128 959900	122 234 959962
2 2	121 213 959950	122 234 959962
tim_018.dat
2 2	20 113 960028	24 201 959950
2 2	20 113 960028	25 244 959920
2 2	24 201 959950	25 244 959920
tim_019.dat
2 2	56 32 135853	62 246 135425
tim_020.dat
2 2	33 200 376450	237 243 376300
2 2	70 208 611883	71 253 611900
2 2	123 3 308575	124 15 308971
2 2	124 15 308971	125 43 309340
2 2	146 76 247690	167 85 247969
2 2	146 76 247690	170 83 248075
2 2	151 98 960040	151 78 960025
2 2	151 98 960040	152 128 960038
2 2	151 98 960040	152 137 960044
2 2	151 98 960040	152 148 960050
2 2	151 98 960040	152 156 960050
2 2	151 98 960040	153 208 960043
2 2	151 98 960040	153 173 960017
2 2	151 98 960040	153 182 960050
2 2	151 98 960040	154 239 960025
2 2	151 98 960040	154 248 960000
2 2	151 78 960025	152 128 960038
2 2	151 78 960025	152 137 960044
2 2	151 78 960025	152 148 960050
2 2	151 78 960025	152 156 960050
2 2	151 78 960025	153 208 960043
2 2	151 78 960025	153 173 960017
2 2	151 78 960025	153 182 960050
2 2	151 78 960025	154 239 960025
2 2	151 78 960025	154 248 960000
2 2	152 128 960038	152 137 960044
2 2	152 128 960038	152 148 960050
2 2	152 128 960038	152 156 960050
2 2	152 128 960038	153 208 960043
2 2	152 128 960038	153 173 960017
2 2	152 128 960038	153 182 960050
2 2	152 128 960038	154 239 960025
2 2	152 128 960038	154 248 960000
2 2	152 137 960044	152 148 960050
2 2	152 137 960044	152 156 960050
2 2	152 137 960044	153 208 960043
2 2	152 137 960044	153 173 960017
2 2	152 137 960044	153 182 960050
2 2	152 137 960044	154 239 960025
2 2	152 137 960044	154 248 960000
2 2	152 148 960050	152 156 960050
2 2	152 148 960050	153 208 960043
2 2	152 148 960050	153 173 960017
2 2	152 148 960050	153 182 960050
2 2	152 148 960050	154 239 960025
2 2	152 148 960050	154 248 960000
2 2	152 156 960050	153 208 960043
2 2	152 156 960050	153 173 960017
2 2	152 156 960050	153 182 960050
2 2	152 156 960050	154 239 960025
2 2	152 156 960050	154 248 960000
2 2	153 208 960043	153 173 960017
2 2	153 208 960043	153 182 960050
2 2	153 208 960043	154 239 960025
2 2	153 208 960043	154 248 960000
2 2	153 173 960017	153 182 960050
2 2	153 173 960017	154 239 960025
2 2	153 173 960017	154 248 960000
2 2	153 182 960050	154 239 960025
2 2	153 182 960050	154 248 960000
2 2	154 239 960025	154 248 960000
2 2	167 85 247969	170 83 248075
tim_021.dat
2 2	173 5 960045	173 15 960014
2 2	173 5 960045	173 28 960017
2 2	173 5 960045	174 40 960014
2 2	173 5 960045	174 77 959983
2 2	173 5 960045	174 55 959975
2 2	173 5 960045	174 62 959971
2 2	173 5 960045	175 83 959900
2 2	173 5 960045	175 114 959931
2 2	173 5 960045	175 125 959920
2 2	173 5 960045	175 134 959975
2 2	173 5 960045	176 170 959929
2 2	173 15 960014	173 28 960017
2 2	173 15 960014	174 40 960014
2 2	173 15 960014	174 77 959983
2 2	173 15 960014	174 55 959975
2 2	173 15 960014	174 62 959971
2 2	173 15 960014	175 83 959900
2 2	173 15 960014	175 114 959931
2 2	173 15 960014	175 125 959920
2 2	173 15 960014	175 134 959975
2 2	173 15 960014	176 170 959929
2 2	173 28 960017	174 40 960014
2 2	173 28 960017	174 77 959983
2 2	173 28 960017	174 55 959975
2 2	173 28 960017	174 62 959971
2 2	173 28 960017	175 83 959900
2 2	173 28 960017	175 114 959931
2 2	173 28 960017	175 125 959920
2 2	173 28 960017	175 134 959975
2 2	173 28 960017	176 170 959929
2 2	174 40 960014	174 77 959983
2 2	174 40 960014	174 55 959975
2 2	174 40 960014	174 62 959971
2 2	174 40 960014	175 83 959900
2 2	174 40 960014	175 114 959931
2 2	174 40 960014	175 125 959920
2 2	174 40 960014	175 134 959975
2 2	174 40 960014	176 170 959929
2 2	174 77 959983	174 55 959975
2 2	174 77 959983	174 62 959971
2 2	174 77 959983	175 83 959900
2 2	174 77 959983	175 114 959931
2 2	174 77 959983	175 125 959920
2 2	174 77 959983	175 134 959975
2 2	174 77 959983	176 170 959929
2 2	174 55 959975	174 62 959971
2 2	174 55 959975	175 83 959900
2 2	174 55 959975	175 114 959931
2 2	174 55 959975	175 125 959920
2 2	174 55 959975	175 134 959975
2 2	174 55 959975	176 170 959929
2 2	174 62 959971	175 83 959900
2 2	174 62 959971	175 114 959931
2 2	174 62 959971	175 125 959920
2 2	174 62 959971	175 134 959975
2 2	174 62 959971	176 170 959929
2 2	175 83 959900	175 114 959931
2 2	175 83 959900	175 125 959920
2 2	175 83 959900	175 134 959975
2 2	175 83 959900	176 170 959929
2 2	175 114 959931	175 125 959920
2 2	175 114 959931	175 134 959975
2 2	175 114 959931	176 170 959929
2 2	175 125 959920	175 134 959975
2 2	175 125 959920	176 170 959929
2 2	175 134 959975	176 170 959929
tim_022.dat
2 2	170 135 141126	172 150 141380
tim_023.dat
2 2	24 50 28516.7	25 63 28960
2 2	25 63 28960	25 74 29175
2 2	98 180 960048	96 89 960043
tim_024.dat
2 2	27 249 597358	28 188 597400
2 2	28 235 599744	30 78 599663
2 2	141 11 960027	142 33 960052
2 2	141 11 960027	143 50 960043
